my city ,global ,,year,Riyadh- 10-temp,Global 10-temp
,8.72,,1750,,
,7.98,,1751,,
,5.78,,1752,,
,8.39,,1753,,
,8.47,,1754,,
,8.36,,1755,,
,8.85,,1756,,
,9.02,,1757,,
,6.74,,1758,,
,7.99,,1759,,8.03
,7.19,,1760,,7.877
,8.77,,1761,,7.956
,8.61,,1762,,8.239
,7.5,,1763,,8.15
,8.4,,1764,,8.143
,8.25,,1765,,8.132
,8.41,,1766,,8.088
,8.22,,1767,,8.008
,6.78,,1768,,8.012
,7.69,,1769,,7.982
,7.69,,1770,,8.032
,7.85,,1771,,7.94
,8.19,,1772,,7.898
,8.22,,1773,,7.97
,8.77,,1774,,8.007
,9.18,,1775,,8.1
,8.3,,1776,,8.089
,8.26,,1777,,8.093
,8.54,,1778,,8.269
,8.98,,1779,,8.398
,9.43,,1780,,8.572
,8.1,,1781,,8.597
,7.9,,1782,,8.568
,7.68,,1783,,8.514
,7.86,,1784,,8.423
,7.36,,1785,,8.241
,8.26,,1786,,8.237
,8.03,,1787,,8.214
,8.45,,1788,,8.205
,8.33,,1789,,8.14
,7.98,,1790,,7.995
,8.23,,1791,,8.008
,8.09,,1792,,8.027
,8.23,,1793,,8.082
,8.53,,1794,,8.149
,8.35,,1795,,8.248
,8.27,,1796,,8.249
,8.51,,1797,,8.297
,8.67,,1798,,8.319
,8.51,,1799,,8.337
,8.48,,1800,,8.387
,8.59,,1801,,8.423
,8.58,,1802,,8.472
,8.5,,1803,,8.499
,8.84,,1804,,8.53
,8.56,,1805,,8.551
,8.43,,1806,,8.567
,8.28,,1807,,8.544
,7.63,,1808,,8.44
,7.08,,1809,,8.297
,6.92,,1810,,8.141
,6.86,,1811,,7.968
,7.05,,1812,,7.815
,7.74,,1813,,7.739
,7.59,,1814,,7.614
,7.24,,1815,,7.482
,6.94,,1816,,7.333
,6.98,,1817,,7.203
,7.83,,1818,,7.223
,7.37,,1819,,7.252
,7.62,,1820,,7.322
,8.09,,1821,,7.445
,8.19,,1822,,7.559
,7.72,,1823,,7.557
,8.55,,1824,,7.653
,8.39,,1825,,7.768
,8.36,,1826,,7.91
,8.81,,1827,,8.093
,8.17,,1828,,8.127
,7.94,,1829,,8.184
,8.52,,1830,,8.274
,7.64,,1831,,8.229
,7.45,,1832,,8.155
,8.01,,1833,,8.184
,8.15,,1834,,8.144
,7.39,,1835,,8.044
,7.7,,1836,,7.978
,7.38,,1837,,7.835
,7.51,,1838,,7.769
,7.63,,1839,,7.738
,7.8,,1840,,7.666
,7.69,,1841,,7.671
,8.02,,1842,,7.728
24.74,8.17,,1843,24.74,7.744
15.45,7.65,,1844,20.095,7.694
20.82,7.85,,1845,20.33666667,7.74
,8.55,,1846,20.33666667,7.825
,8.09,,1847,20.33666667,7.896
24.56,7.98,,1848,21.3925,7.943
24.8,7.98,,1849,22.074,7.978
24.34,7.9,,1850,22.45166667,7.988
25.03,8.18,,1851,22.82,8.037
24.85,8.1,,1852,23.07375,8.045
24.93,8.04,,1853,23.0975,8.032
24.72,8.21,,1854,24.25625,8.088
24.92,8.11,,1855,24.76875,8.114
24.57,8,,1856,24.74666667,8.059
24.26,7.76,,1857,24.698,8.026
25.01,8.1,,1858,24.743,8.038
24.95,8.25,,1859,24.758,8.065
24.94,7.96,,1860,24.818,8.071
24.13,7.85,,1861,24.728,8.038
23.77,7.56,,1862,24.62,7.984
24.28,8.11,,1863,24.555,7.991
25.03,7.98,,1864,24.586,7.968
25.23,8.18,,1865,24.617,7.975
24.92,8.29,,1866,24.652,8.004
25.22,8.44,,1867,24.748,8.072
25,8.25,,1868,24.747,8.087
25.3,8.43,,1869,24.782,8.105
25.02,8.2,,1870,24.79,8.129
24.73,8.12,,1871,24.85,8.156
24.87,8.19,,1872,24.96,8.219
25.24,8.35,,1873,25.056,8.243
24.98,8.43,,1874,25.051,8.288
24.43,7.86,,1875,24.971,8.256
24.89,8.08,,1876,24.968,8.235
25.47,8.54,,1877,24.993,8.245
25.51,8.83,,1878,25.044,8.303
25.24,8.17,,1879,25.038,8.277
24.8,8.12,,1880,25.016,8.269
25.63,8.27,,1881,25.106,8.284
24.66,8.13,,1882,25.085,8.278
25.19,7.98,,1883,25.08,8.241
24.8,7.77,,1884,25.062,8.175
24.98,7.92,,1885,25.117,8.181
24.98,7.95,,1886,25.126,8.168
24.81,7.91,,1887,25.06,8.105
25.13,8.09,,1888,25.022,8.031
25.52,8.32,,1889,25.05,8.046
25.07,7.97,,1890,25.077,8.031
25.39,8.02,,1891,25.053,8.006
25.22,8.07,,1892,25.109,8
25.19,8.06,,1893,25.109,8.008
24.66,8.16,,1894,25.095,8.047
24.69,8.15,,1895,25.066,8.07
24.88,8.21,,1896,25.056,8.096
24.86,8.29,,1897,25.061,8.134
24.88,8.18,,1898,25.036,8.143
25.12,8.4,,1899,24.996,8.151
25.29,8.5,,1900,25.018,8.204
25.55,8.54,,1901,25.034,8.256
25.25,8.3,,1902,25.037,8.279
24.64,8.22,,1903,24.982,8.295
25.07,8.09,,1904,25.023,8.288
24.87,8.23,,1905,25.041,8.296
24.85,8.38,,1906,25.038,8.313
24.44,7.95,,1907,24.996,8.279
24.95,8.19,,1908,25.003,8.28
25.57,8.18,,1909,25.048,8.258
24.75,8.22,,1910,24.994,8.23
24.24,8.18,,1911,24.863,8.194
24.96,8.17,,1912,24.834,8.181
24.63,8.3,,1913,24.833,8.189
24.94,8.59,,1914,24.82,8.239
25.38,8.59,,1915,24.871,8.275
24.85,8.23,,1916,24.871,8.26
25.03,8.02,,1917,24.93,8.267
24.66,8.13,,1918,24.901,8.261
25.39,8.38,,1919,24.883,8.281
24.94,8.36,,1920,24.902,8.295
24.84,8.57,,1921,24.962,8.334
25.35,8.41,,1922,25.001,8.358
25.1,8.42,,1923,25.048,8.37
25.69,8.51,,1924,25.123,8.362
25,8.53,,1925,25.085,8.356
25.19,8.73,,1926,25.119,8.406
25.29,8.52,,1927,25.145,8.456
25.39,8.63,,1928,25.218,8.506
25.36,8.24,,1929,25.215,8.492
25.39,8.63,,1930,25.26,8.519
25.38,8.72,,1931,25.314,8.534
24.96,8.71,,1932,25.275,8.564
24.67,8.34,,1933,25.232,8.556
24.97,8.63,,1934,25.16,8.568
25.61,8.52,,1935,25.221,8.567
25.15,8.55,,1936,25.217,8.549
25.08,8.7,,1937,25.196,8.567
25.11,8.86,,1938,25.168,8.59
25.16,8.76,,1939,25.148,8.642
25.51,8.76,,1940,25.16,8.655
25.37,8.77,,1941,25.159,8.66
25.49,8.73,,1942,25.212,8.662
24.96,8.76,,1943,25.241,8.704
25.6,8.85,,1944,25.304,8.726
25.3,8.58,,1945,25.273,8.732
25.49,8.68,,1946,25.307,8.745
26,8.8,,1947,25.399,8.755
24.85,8.75,,1948,25.373,8.744
24.82,8.59,,1949,25.339,8.727
24.98,8.37,,1950,25.286,8.688
26.1,8.63,,1951,25.359,8.674
25.72,8.64,,1952,25.382,8.665
25.51,8.87,,1953,25.437,8.676
25.8,8.56,,1954,25.457,8.647
25.33,8.63,,1955,25.46,8.652
25.02,8.28,,1956,25.413,8.612
24.69,8.73,,1957,25.282,8.605
25.64,8.77,,1958,25.361,8.607
24.14,8.73,,1959,25.293,8.621
25.67,8.58,,1960,25.362,8.642
25.12,8.8,,1961,25.264,8.659
26.1,8.75,,1962,25.302,8.67
25.54,8.86,,1963,25.305,8.669
25.14,8.41,,1964,25.239,8.654
25.59,8.53,,1965,25.265,8.644
26.16,8.6,,1966,25.379,8.676
24.87,8.7,,1967,25.397,8.673
25.21,8.52,,1968,25.354,8.648
26.05,8.6,,1969,25.545,8.635
25.84,8.7,,1970,25.562,8.647
